Cal. year / month,Material Group,Calendar Day,Material,Brand,Sales Office,Sales District,Sold-to party,Acounts,Ship-To Party,Customer group 1,SalesValue,SalesQty,FocQty,Total Qty(Ea)
7.2022,ASTRA ZENECA,7/2/2022,M350764,FORXIGA 10MG TABS OF 28S,MPC Dubai Sales Off,Dubai,123572,WESTERN DRUG & MEDICAL EQUIPMENT ST,123572,Private,"146,244.00 AED",700.000 EA,35.000 EA,735
7.2022,ASTRA ZENECA,7/2/2022,M350764,FORXIGA 10MG TABS OF 28S,MPC Dubai Sales Off,Deira Dubai,19443,AL BARAHA PHARMACY LLC. - DUBAI,19443,Private,208.92 AED,1.000 EA,,1
7.2022,ASTRA ZENECA,7/2/2022,M350765,FORXIGA 5MG TABS OF 28S,MPC Dubai Sales Off,Dubai,123572,WESTERN DRUG & MEDICAL EQUIPMENT ST,123572,Private,"20,892.00 AED",100.000 EA,5.000 EA,105.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350765,FORXIGA 5MG TABS OF 28S,MPC Dubai Sales Off,Deira Dubai,19443,AL BARAHA PHARMACY LLC. - DUBAI,19443,Private,208.92 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350776,TENORMIN 50MG TABS 28,MPC Dubai Sales Off,Deira Dubai,3628,MEDICLINIC WELCARE  HOSPITAL LLC,3628,Private,240.60 AED,10.000 EA,,10.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350776,TENORMIN 50MG TABS 28,MPC Dubai Sales Off,Deira Dubai,19443,AL BARAHA PHARMACY LLC. - DUBAI,19443,Private,144.36 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350776,TENORMIN 50MG TABS 28,MPC Dubai Sales Off,Deira Dubai,50314,AL BUSTAN PHARMACY DEIRA,50314,Private,48.12 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Dubai,79898,NEW AL KANZ PHARMACY (L.G),79898,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Dubai,83565,V CARE PHARMACY - DUBAI,83565,Private,316.50 AED,25.000 EA,,25.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Dubai,83802,LIFE AL QUSAIS PHY -(L.G),83802,Private,37.98 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Dubai,99173,LIFE AL RIQQA 2(BR L.G PHY LLC),99173,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Dubai,116426,LIFE PHARMACY 38 (L.G),116426,Private,37.98 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Dubai,123113,LIFE PHARMACY 72 - BR OF LIFE PHARM,123113,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,1452,NADD RASHID PHARMACY,1452,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,1517,TARIQ PHY-(AL QUSAIS)(L.G),1517,Private,37.98 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,10058,YARA PHY - (L.G),10058,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,13819,AL HAWI PHARMACY - DEIRA (L.G),13819,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,31984,MURSHID PHARMACY-DUBAI(L.G),31984,Private,37.98 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,40615,FAWAGEE SCIENTIFIC PHY -(L.G),40615,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,41109,ROYAL MEMZAR PHARMACY(L.G),41109,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,68148,NOOR AL SHEFAA PHY LLC(L.G),68148,Private,37.98 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,72913,DOCIB MEDICAL STORE,72913,Private,37.98 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,79645,HALA PHY 16 L.L.C  - (L.G),79645,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,90889,LIFE AL MIZHAR FIRST PHY-(L.G),90889,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,95211,SAMAA ALWARQA PHARMACY L.L.C,95211,Private,12.66 AED,1.000 EA,,1.000 EA
